name,text,type,manaCost,convertedManaCost
Wanderlust,"Enchant creature
At the beginning of the upkeep of enchanted creature's controller, Wanderlust deals 1 damage to that player.",Enchantment — Aura,{2}{G},3
Wandermare,"Whenever you cast a creature spell that has an Adventure, put a +1/+1 counter on Wandermare. (It doesn't need to have gone on the adventure first.)",Creature — Horse,{1}{G}{W},3
Wanderwine Hub,"As Wanderwine Hub enters the battlefield, you may reveal a Merfolk card from your hand. If you don't, Wanderwine Hub enters the battlefield tapped.
{T}: Add {W} or {U}.",Land,,0
Wanderwine Prophets,"Champion a Merfolk (When this enters the battlefield, sacrifice it unless you exile another Merfolk you control. When this leaves the battlefield, that card returns to the battlefield.)
Whenever Wanderwine Prophets deals combat damage to a player, you may sacrifice a Merfolk. If you do, take an extra turn after this one.",Creature — Merfolk Wizard,{4}{U}{U},6
Wane,Destroy target enchantment.,Instant,{W},2
Waning Wurm,"Vanishing 2 (This creature enters the battlefield with two time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)",Creature — Zombie Wurm,{3}{B},4
Wanted Scoundrels,"When Wanted Scoundrels dies, target opponent creates two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")",Creature — Human Pirate,{1}{B},2
War Barge,"{3}: Target creature gains islandwalk until end of turn. When War Barge leaves the battlefield this turn, destroy that creature. A creature destroyed this way can't be regenerated. (A creature with islandwalk can't be blocked as long as defending player controls an Island.)",Artifact,{4},4
War Behemoth,Morph {4}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.),Creature — Beast,{5}{W},6
War Cadence,"{X}{R}: This turn, creatures can't block unless their controller pays {X} for each blocking creature they control.",Enchantment,{2}{R},3
War Chariot,"{3}, {T}: Target creature gains trample until end of turn.",Artifact,{3},3
War Dance,"At the beginning of your upkeep, you may put a verse counter on War Dance.
Sacrifice War Dance: Target creature gets +X/+X until end of turn, where X is the number of verse counters on War Dance.",Enchantment,{G},1
War Elemental,"When War Elemental enters the battlefield, sacrifice it unless an opponent was dealt damage this turn.
Whenever an opponent is dealt damage, put that many +1/+1 counters on War Elemental.",Creature — Elemental,{R}{R}{R},3
War Elephant,"Trample; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",Creature — Elephant,{3}{W},4
War Falcon,"Flying
War Falcon can't attack unless you control a Knight or a Soldier.",Creature — Bird,{W},1
War Flare,Creatures you control get +2/+1 until end of turn. Untap those creatures.,Instant,{2}{R}{W},4
War Horn,Attacking creatures you control get +1/+0.,Artifact,{3},3
War Mammoth,Trample,Creature — Elephant,{3}{G},4
War Oracle,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)",Creature — Human Cleric,{2}{W}{W},4
War Priest of Thune,"When War Priest of Thune enters the battlefield, you may destroy target enchantment.",Creature — Human Cleric,{1}{W},2
War Report,You gain life equal to the number of creatures on the battlefield plus the number of artifacts on the battlefield.,Instant,{3}{W},4
War Screecher,"Flying
{5}{W}, {T}: Other creatures you control get +1/+1 until end of turn.",Creature — Bird,{1}{W},2
War Tax,"{X}{U}: This turn, creatures can't attack unless their controller pays {X} for each attacking creature they control.",Enchantment,{2}{U},3
War's Toll,"Whenever an opponent taps a land for mana, tap all lands that player controls.
If a creature an opponent controls attacks, all creatures that opponent controls attack if able.",Enchantment,{3}{R},4
War-Name Aspirant,"Raid — War-Name Aspirant enters the battlefield with a +1/+1 counter on it if you attacked with a creature this turn.
War-Name Aspirant can't be blocked by creatures with power 1 or less.",Creature — Human Warrior,{1}{R},2
War-Spike Changeling,"Changeling (This card is every creature type.)
{R}: War-Spike Changeling gains first strike until end of turn.",Creature — Shapeshifter,{3}{R},4
War-Torch Goblin,"{R}, Sacrifice War-Torch Goblin: It deals 2 damage to target blocking creature.",Creature — Goblin Warrior,{R},1
War-Wing Siren,"Flying
Heroic — Whenever you cast a spell that targets War-Wing Siren, put a +1/+1 counter on War-Wing Siren.",Creature — Siren Soldier,{2}{U},3
Warbreak Trumpeter,"Morph {X}{X}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When Warbreak Trumpeter is turned face up, create X 1/1 red Goblin creature tokens.",Creature — Goblin,{R},1
Warbringer,"Dash costs you pay cost {2} less (as long as this creature is on the battlefield).
Dash {2}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)",Creature — Orc Berserker,{3}{R},4
Warchanter of Mogis,"Inspired — Whenever Warchanter of Mogis becomes untapped, target creature you control gains intimidate until end of turn. (A creature with intimidate can't be blocked except by artifact creatures and/or creatures that share a color with it.)",Creature — Minotaur Shaman,{3}{B}{B},5
Warchief Giant,"Haste
Myriad (Whenever this creature attacks, for each opponent other than defending player, you may create a token that's a copy of this creature that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.)",Creature — Giant Warrior,{3}{R}{R},5
Warclamp Mastiff,First strike (This creature deals combat damage before creatures without first strike.),Creature — Hound,{W},1
Warcry Phoenix,"Flying, haste
Whenever you attack with three or more creatures, you may pay {2}{R}. If you do, return Warcry Phoenix from your graveyard to the battlefield tapped and attacking.",Creature — Phoenix,{3}{R},4
Ward Sliver,"As Ward Sliver enters the battlefield, choose a color.
All Slivers have protection from the chosen color.",Creature — Sliver,{4}{W},5
Ward of Bones,"Each opponent who controls more creatures than you can't cast creature spells. The same is true for artifacts and enchantments.
Each opponent who controls more lands than you can't play lands.",Artifact,{6},6
Ward of Lights,"You may cast Ward of Lights as though it had flash. If you cast it any time a sorcery couldn't have been cast, the controller of the permanent it becomes sacrifices it at the beginning of the next cleanup step.
Enchant creature
As Ward of Lights enters the battlefield, choose a color.
Enchanted creature has protection from the chosen color. This effect doesn't remove Ward of Lights.",Enchantment — Aura,{W}{W},2
Ward of Piety,"Enchant creature
{1}{W}: The next 1 damage that would be dealt to enchanted creature this turn is dealt to any target instead.",Enchantment — Aura,{1}{W},2
Warden,Create a 4/4 white and blue Sphinx creature token with flying and vigilance.,Sorcery,{3}{W}{U},7
Warden of Evos Isle,"Flying
Creature spells with flying you cast cost {1} less to cast.",Creature — Bird Wizard,{2}{U},3
Warden of Geometries,"Vigilance
{T}: Add {C}. ({C} represents colorless mana.)",Creature — Eldrazi Drone,{4},4
Warden of the Beyond,"Vigilance (Attacking doesn't cause this creature to tap.)
Warden of the Beyond gets +2/+2 as long as an opponent owns a card in exile.",Creature — Human Wizard,{2}{W},3
Warden of the Eye,"When Warden of the Eye enters the battlefield, return target noncreature, nonland card from your graveyard to your hand.",Creature — Djinn Wizard,{2}{U}{R}{W},5
Warden of the First Tree,"{1}{W/B}: Warden of the First Tree becomes a Human Warrior with base power and toughness 3/3.
{2}{W/B}{W/B}: If Warden of the First Tree is a Warrior, it becomes a Human Spirit Warrior with trample and lifelink.
{3}{W/B}{W/B}{W/B}: If Warden of the First Tree is a Spirit, put five +1/+1 counters on it.",Creature — Human,{G},1
Warden of the Wall,"Warden of the Wall enters the battlefield tapped.
{T}: Add {C}.
As long as it's not your turn, Warden of the Wall is a 2/3 Gargoyle artifact creature with flying.",Artifact,{3},3
Wardscale Crocodile,Hexproof (This creature can't be the target of spells or abilities your opponents control.),Creature — Crocodile,{4}{G},5
Wardscale Dragon,"Flying
As long as Wardscale Dragon is attacking, defending player can't cast spells.",Creature — Dragon,{4}{W}{W},6
Warfire Javelineer,"When Warfire Javelineer enters the battlefield, it deals X damage to target creature an opponent controls, where X is the number of instant and sorcery cards in your graveyard.",Creature — Minotaur Warrior,{3}{R},4
Wargate,"Search your library for a permanent card with converted mana cost X or less, put it onto the battlefield, then shuffle your library.",Sorcery,{X}{G}{W}{U},3
Warkite Marauder,"Flying
Whenever Warkite Marauder attacks, target creature defending player controls loses all abilities and has base power and toughness 0/1 until end of turn.",Creature — Human Pirate,{1}{U},2
Warleader's Helix,Warleader's Helix deals 4 damage to any target and you gain 4 life.,Instant,{2}{R}{W},4
Warlord's Axe,"Equipped creature gets +3/+1.
Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)",Artifact — Equipment,{3},3
Warlord's Fury,"Creatures you control gain first strike until end of turn.
Draw a card.",Sorcery,{R},1
Warmind Infantry,"Battalion — Whenever Warmind Infantry and at least two other creatures attack, Warmind Infantry gets +2/+0 until end of turn.",Creature — Elemental Soldier,{2}{R},3
Warmonger,{2}: Warmonger deals 1 damage to each creature without flying and each player. Any player may activate this ability.,Creature — Minotaur Monger,{3}{R},4
Warmonger Hellkite,"Flying
All creatures attack each combat if able.
{1}{R}: Attacking creatures get +1/+0 until end of turn.",Creature — Dragon,{4}{R}{R},6
Warmonger's Chariot,"Equipped creature gets +2/+2.
As long as equipped creature has defender, it can attack as though it didn't have defender.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",Artifact — Equipment,{2},2
Warmth,"Whenever an opponent casts a red spell, you gain 2 life.",Enchantment,{1}{W},2
Warning,Prevent all combat damage that would be dealt by target attacking creature this turn.,Instant,{W},1
Warp Artifact,"Enchant artifact
At the beginning of the upkeep of enchanted artifact's controller, Warp Artifact deals 1 damage to that player.",Enchantment — Aura,{B}{B},2
Warp World,"Each player shuffles all permanents they own into their library, then reveals that many cards from the top of their library. Each player puts all artifact, creature, and land cards revealed this way onto the battlefield, then does the same for enchantment cards, then puts all cards revealed this way that weren't put onto the battlefield on the bottom of their library.",Sorcery,{5}{R}{R}{R},8
Warpath,Warpath deals 3 damage to each blocking creature and each blocked creature.,Instant,{3}{R},4
Warpath Ghoul,,Creature — Zombie,{2}{B},3
Warped Devotion,"Whenever a permanent is returned to a player's hand, that player discards a card.",Enchantment,{2}{B},3
Warped Landscape,"{T}: Add {C}.
{2}, {T}, Sacrifice Warped Landscape: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.",Land,,0
Warped Physique,"Target creature gets +X/-X until end of turn, where X is the number of cards in your hand.",Instant,{U}{B},2
Warped Researcher,"Whenever a player cycles a card, Warped Researcher gains flying and shroud until end of turn. (It can't be the target of spells or abilities.)",Creature — Human Wizard Mutant,{4}{U},5
